Design,Sample,Recipe,Area,Delay,QoR
simple_spi_orig,81,"st; rwz; rfz; rs; rfz; rs; rwz; rwz; rfz; b; rw; b; rw; rf; rf; rs; st; rf; b; rf;",569.32,193.19,109817
simple_spi_orig,82,"st; f; rf; st; rf; rs; rwz; b; st; st; rfz; rf; f; rf; st; rf; st; rs; st; b;",560.86,183.71,102480
simple_spi_orig,83,"b; b; rs; rw; rwz; b; rw; rw; f; rw; st; rf; rwz; rwz; f; rfz; rs; rw; rw; rf;",553.67,188.28,103964
simple_spi_orig,84,"st; b; rf; rwz; b; rw; rs; rf; b; rw; rfz; rs; rf; rfz; rs; rf; rwz; b; rwz; rf;",556.59,187.89,103972
simple_spi_orig,85,"st; rf; rw; st; rwz; rfz; b; rfz; rs; rwz; rf; rwz; b; f; rfz; rs; rw; st; rfz; st;",559.94,192.59,107328
simple_spi_orig,86,"st; rf; b; rs; rf; rfz; rw; rwz; rw; rfz; st; rs; rs; rf; rf; rf; rs; rf; rfz; b;",543.34,201.86,109143
simple_spi_orig,87,"st; rs; rs; rwz; rwz; rf; rs; rwz; rfz; b; b; f; f; rf; rfz; rw; st; rwz; b; b;",545.87,182.21,99190
simple_spi_orig,88,"st; rf; st; rs; b; rs; rs; b; rs; rwz; rf; f; f; rs; rs; st; rf; rfz; f; b;",551.88,201.86,110751
simple_spi_orig,89,"st; rfz; st; f; rfz; rs; st; rw; rf; rwz; rfz; rf; rf; rf; b; b; rs; rs; st; b;",554.20,203.11,112462
simple_spi_orig,90,"b; b; b; rwz; b; rs; st; f; f; rw; rw; rw; rf; rfz; rfz; b; rs; rw; rw; rf;",571.59,193.50,110203
simple_spi_orig,91,"b; rfz; f; rwz; rw; b; rwz; st; st; f; rs; st; b; rfz; f; rf; rw; rw; b; st;",557.35,200.18,111400
simple_spi_orig,92,"b; rs; st; b; st; rf; rf; rwz; rs; rwz; rwz; rw; f; rwz; rs; rw; rf; rs; f; rw;",539.70,185.97,99715
simple_spi_orig,93,"st; rf; f; st; b; st; rw; rs; b; st; b; rwz; st; rw; rw; rfz; f; rwz; f; rs;",542.37,185.29,100270
simple_spi_orig,94,"st; rw; rf; f; rf; rfz; rf; rf; b; rw; rwz; rw; rs; b; rwz; rf; rw; st; rwz; f;",523.19,185.97,96755
simple_spi_orig,95,"b; b; rs; st; rwz; st; rf; rs; rfz; rwz; rf; rwz; rf; b; st; rf; rf; rf; rs; b;",541.15,179.08,96839
simple_spi_orig,96,"b; rwz; rf; f; rf; f; st; rwz; rs; f; b; st; rf; b; rf; rw; rfz; rs; rwz; f;",541.90,191.36,103331
simple_spi_orig,97,"st; rwz; b; st; rwz; rs; rs; st; b; rfz; rwz; rfz; st; rw; rfz; rfz; rs; rs; b; rwz;",556.11,181.40,100636
simple_spi_orig,98,"st; rfz; rfz; st; st; b; rs; rw; rs; st; rfz; rwz; rw; st; rwz; rf; rw; rs; st; st;",533.21,202.19,107666
simple_spi_orig,99,"b; b; rfz; st; rs; b; f; rfz; rf; rs; rs; rwz; f; rf; rf; rwz; b; b; rwz; f;",539.16,189.03,101871
simple_spi_orig,100,"st; rw; rwz; b; rfz; rw; rs; b; rs; st; rf; rfz; rs; f; rwz; rwz; rwz; rwz; rfz; b;",552.38,193.19,106536
simple_spi_orig,101,"st; rwz; b; st; st; rwz; rw; st; rf; rf; rf; st; rwz; rfz; rfz; rf; rw; rf; rs; st;",578.97,189.19,109242
simple_spi_orig,102,"st; rs; b; rw; b; b; f; rwz; rf; rfz; rw; b; f; rwz; rw; st; rs; b; rfz; f;",564.79,184.64,103776
simple_spi_orig,103,"b; st; f; rfz; rw; rwz; rw; f; rfz; rf; rf; f; rwz; b; rw; rw; b; rf; rfz; rs;",565.87,185.30,104525
simple_spi_orig,104,"st; rwz; rw; rs; rf; rs; st; f; st; st; rfz; st; rw; rwz; rs; f; rfz; rfz; b; rwz;",556.70,185.43,102860
simple_spi_orig,105,"st; rwz; f; rw; rwz; rw; rs; rw; f; rwz; st; rwz; rwz; b; rf; rfz; rw; st; b; b;",549.85,193.83,105957
simple_spi_orig,106,"b; rf; b; rfz; f; rwz; rs; st; rwz; rfz; f; rwz; rwz; b; b; rwz; st; rw; f; rfz;",551.03,190.78,104690
simple_spi_orig,107,"st; rfz; rs; f; rf; rf; rfz; rf; b; rwz; rwz; rf; rwz; rw; f; rf; rw; rf; f; f;",521.28,204.98,106284
simple_spi_orig,108,"b; f; f; rw; f; rwz; st; rwz; st; st; rfz; rfz; st; st; f; rf; st; rf; rw; rfz;",575.81,190.06,109250
simple_spi_orig,109,"b; rs; rwz; b; rfz; rf; rs; rwz; f; b; f; rf; f; rf; f; b; rfz; f; st; f;",566.94,190.25,107540
simple_spi_orig,110,"st; b; b; rfz; rf; rfz; rf; rs; rfz; rwz; b; b; f; rf; rs; f; rw; rf; rs; st;",539.56,193.30,104027
simple_spi_orig,111,"b; b; f; rw; rs; st; rf; rfz; b; rf; rw; rfz; rwz; rwz; rs; rw; st; st; rfz; rfz;",540.70,185.97,99900
simple_spi_orig,112,"st; rs; rfz; b; rwz; rw; rwz; f; rw; rs; st; rf; rf; rw; rfz; f; f; st; rfz; rw;",565.76,185.18,104525
