Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
simple_spi_orig.bench,312,563.74,181.94,101903
simple_spi_orig.bench,313,565.88,183.29,103395
simple_spi_orig.bench,314,551.88,193.83,106343
simple_spi_orig.bench,315,550.19,203.11,111650
simple_spi_orig.bench,316,541.99,183.82,99003
simple_spi_orig.bench,317,561.94,184.87,103224
simple_spi_orig.bench,318,556.90,185.97,102860
simple_spi_orig.bench,319,529.75,185.98,97865
simple_spi_orig.bench,320,543.24,192.85,104256
simple_spi_orig.bench,321,558.03,180.87,100440
simple_spi_orig.bench,322,549.95,193.83,105957
simple_spi_orig.bench,323,532.64,192.59,102144
simple_spi_orig.bench,324,567.16,193.83,109431
simple_spi_orig.bench,325,553.37,180.76,99540
simple_spi_orig.bench,326,556.26,203.58,112868
simple_spi_orig.bench,327,524.71,195.52,102180
simple_spi_orig.bench,328,539.27,182.65,98098
simple_spi_orig.bench,329,538.27,190.25,102220
simple_spi_orig.bench,330,562.19,182.65,102284
simple_spi_orig.bench,331,573.54,190.78,108870
simple_spi_orig.bench,332,555.07,185.97,102675
simple_spi_orig.bench,333,528.48,185.97,97680
simple_spi_orig.bench,334,559.99,185.18,103415
simple_spi_orig.bench,335,581.51,178.66,103418
simple_spi_orig.bench,336,534.23,189.99,100926
simple_spi_orig.bench,337,566.99,180.07,101880
simple_spi_orig.bench,338,522.09,202.19,105444
simple_spi_orig.bench,339,571.69,193.83,110203
simple_spi_orig.bench,340,525.54,204.98,107100
simple_spi_orig.bench,341,565.84,201.86,113565
simple_spi_orig.bench,342,537.27,185.29,99345
simple_spi_orig.bench,343,567.86,181.08,102627
simple_spi_orig.bench,344,548.38,185.18,101380
simple_spi_orig.bench,345,556.98,183.82,101748
simple_spi_orig.bench,346,561.93,185.97,103785
simple_spi_orig.bench,347,549.81,181.94,99369
simple_spi_orig.bench,348,577.63,189.19,109053
simple_spi_orig.bench,349,544.07,185.18,100640
simple_spi_orig.bench,350,567.92,184.64,104328
simple_spi_orig.bench,351,520.49,185.97,96200
simple_spi_orig.bench,352,529.96,201.86,106329
simple_spi_orig.bench,353,530.11,182.02,96460
simple_spi_orig.bench,354,542.23,201.86,108942
simple_spi_orig.bench,355,541.27,180.87,97380
simple_spi_orig.bench,356,550.80,195.15,107250
simple_spi_orig.bench,357,565.51,186.71,105090
simple_spi_orig.bench,358,526.58,200.52,105200
simple_spi_orig.bench,359,520.19,204.98,106080
simple_spi_orig.bench,360,552.58,203.11,112056
simple_spi_orig.bench,361,535.12,185.98,98975
simple_spi_orig.bench,362,548.42,201.86,110148
simple_spi_orig.bench,363,558.78,203.11,113274
simple_spi_orig.bench,364,565.84,185.97,104525
simple_spi_orig.bench,365,569.72,189.86,107541
simple_spi_orig.bench,366,540.64,187.89,100980
simple_spi_orig.bench,367,565.18,187.29,105655
simple_spi_orig.bench,368,566.66,185.47,104710
simple_spi_orig.bench,369,554.27,184.11,101936
simple_spi_orig.bench,370,531.11,191.75,101421
simple_spi_orig.bench,371,568.78,190.78,107920
simple_spi_orig.bench,372,563.16,185.97,104155
simple_spi_orig.bench,373,540.91,185.97,99900
simple_spi_orig.bench,374,558.43,189.19,105462
simple_spi_orig.bench,375,554.46,185.18,102490
simple_spi_orig.bench,376,564.28,184.64,103776
simple_spi_orig.bench,377,564.86,193.19,108852
simple_spi_orig.bench,378,554.03,193.65,106922
simple_spi_orig.bench,379,562.50,185.97,103970
simple_spi_orig.bench,380,545.19,199.56,108455
simple_spi_orig.bench,381,541.49,199.34,107659
simple_spi_orig.bench,382,534.27,191.40,101994
simple_spi_orig.bench,383,532.06,200.52,106400
simple_spi_orig.bench,384,531.50,184.80,97704
simple_spi_orig.bench,385,542.19,200.52,108400
simple_spi_orig.bench,386,547.57,200.18,109400
simple_spi_orig.bench,387,573.48,185.18,106005
simple_spi_orig.bench,388,567.57,184.87,104328
simple_spi_orig.bench,389,544.09,185.18,100640
simple_spi_orig.bench,390,572.98,184.67,105248
simple_spi_orig.bench,391,557.67,184.87,102488
simple_spi_orig.bench,392,551.00,183.29,100833
simple_spi_orig.bench,393,574.75,196.40,112504
simple_spi_orig.bench,394,559.85,183.82,102297
simple_spi_orig.bench,395,537.87,196.16,105252
simple_spi_orig.bench,396,545.53,191.11,104095
simple_spi_orig.bench,397,551.48,180.87,99180
simple_spi_orig.bench,398,533.51,191.40,101803
simple_spi_orig.bench,399,562.40,183.71,102846
simple_spi_orig.bench,400,564.32,182.65,102648
simple_spi_orig.bench,401,542.64,180.87,97560
simple_spi_orig.bench,402,523.68,201.86,105123
simple_spi_orig.bench,403,560.00,191.04,106960
simple_spi_orig.bench,404,536.94,191.40,102376
simple_spi_orig.bench,405,585.06,185.97,108225
simple_spi_orig.bench,406,542.53,203.11,110026
simple_spi_orig.bench,407,543.32,183.29,99369
