Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
pci_orig.bench,47,11113.88,626.39,6956738
pci_orig.bench,48,11635.96,402.28,4677270
pci_orig.bench,49,11811.50,470.31,5551170
pci_orig.bench,50,11588.85,466.73,5400008
pci_orig.bench,51,11654.44,417.65,4859718
pci_orig.bench,52,10862.20,621.34,6745302
pci_orig.bench,53,11803.43,405.44,4780215
pci_orig.bench,54,12037.50,436.28,5248132
pci_orig.bench,55,11471.56,504.16,5781384
pci_orig.bench,56,11747.60,425.19,4992475
pci_orig.bench,57,11615.59,453.06,5261595
pci_orig.bench,58,11760.40,427.32,5021520
pci_orig.bench,59,11565.10,469.66,5423985
pci_orig.bench,60,11266.33,633.63,7131378
pci_orig.bench,61,11619.06,429.08,4984551
pci_orig.bench,62,11529.94,504.50,5810616
pci_orig.bench,63,11527.00,590.16,6800930
pci_orig.bench,64,11711.11,429.08,5024019
pci_orig.bench,65,11469.11,610.25,6996090
pci_orig.bench,66,11179.14,583.80,6517357
pci_orig.bench,67,11370.01,586.13,6662820
pci_orig.bench,68,11404.61,435.92,4960740
pci_orig.bench,69,11555.75,405.99,4679775
pci_orig.bench,70,11517.57,454.06,5228718
pci_orig.bench,71,11854.51,465.75,5512110
pci_orig.bench,72,11666.15,420.54,4899720
pci_orig.bench,73,11853.15,435.36,5156055
pci_orig.bench,74,11085.15,627.62,6950295
pci_orig.bench,75,11875.52,424.76,5035000
pci_orig.bench,76,11620.75,448.09,5205760
pci_orig.bench,77,11471.98,478.83,5483138
pci_orig.bench,78,11839.94,448.71,5303872
pci_orig.bench,79,11405.88,595.49,6785975
pci_orig.bench,80,11455.19,419.27,4799645
pci_orig.bench,81,11686.71,458.41,5352188
pci_orig.bench,82,11726.82,476.09,5581576
pci_orig.bench,83,11789.65,417.65,4916013
pci_orig.bench,84,11838.76,431.07,5102178
pci_orig.bench,85,11715.72,419.89,4908585
pci_orig.bench,86,11940.36,436.28,5205840
pci_orig.bench,87,11550.33,450.18,5197500
pci_orig.bench,88,11035.21,616.18,6797560
pci_orig.bench,89,11763.54,421.26,4952223
pci_orig.bench,90,11661.71,442.90,5154162
pci_orig.bench,91,11418.43,433.13,4943994
pci_orig.bench,92,11302.86,631.30,7131562
pci_orig.bench,93,11540.58,424.28,4892960
pci_orig.bench,94,11545.87,475.27,5483875
pci_orig.bench,95,11794.94,414.90,4882716
pci_orig.bench,96,12097.49,417.44,5044449
pci_orig.bench,97,11174.60,627.62,7006098
pci_orig.bench,98,11603.41,434.67,5035702
pci_orig.bench,99,11464.42,473.47,5422472
pci_orig.bench,100,11675.19,435.98,5078625
pci_orig.bench,101,11611.40,427.93,4957897
pci_orig.bench,102,11838.50,465.75,5504670
pci_orig.bench,103,11631.46,421.34,4896651
pci_orig.bench,104,11244.09,478.54,5374632
pci_orig.bench,105,11157.41,617.83,6883869
pci_orig.bench,106,11624.01,446.72,5184304
pci_orig.bench,107,11204.59,625.22,7002500
pci_orig.bench,108,11755.30,420.01,4937100
pci_orig.bench,109,11390.67,630.36,7175700
pci_orig.bench,110,11680.22,437.16,5104160
pci_orig.bench,111,11434.78,482.11,5511188
pci_orig.bench,112,11708.61,435.02,5092980
pci_orig.bench,113,11252.69,498.07,5603496
pci_orig.bench,114,11304.11,561.88,6341544
pci_orig.bench,115,11774.65,432.54,5086368
pci_orig.bench,116,11740.58,454.40,5329960
pci_orig.bench,117,11332.65,628.91,7116496
pci_orig.bench,118,11729.34,438.42,5137302
pci_orig.bench,119,11662.83,443.69,5166266
pci_orig.bench,120,11704.91,451.26,5278504
pci_orig.bench,121,11856.54,424.48,5026944
pci_orig.bench,122,11617.99,448.42,5204416
pci_orig.bench,123,11796.08,402.17,4741992
pci_orig.bench,124,11935.80,451.74,5382685
pci_orig.bench,125,11459.79,479.37,5488861
pci_orig.bench,126,11459.34,636.78,7287924
pci_orig.bench,127,11947.35,433.82,5173051
pci_orig.bench,128,11059.42,627.62,6933993
pci_orig.bench,129,11775.71,451.45,5310525
pci_orig.bench,130,11597.86,440.15,5102680
pci_orig.bench,131,11642.35,439.88,5110838
pci_orig.bench,132,11592.03,532.12,6166944
pci_orig.bench,133,11589.12,438.88,5075982
pci_orig.bench,134,11909.23,435.41,5180415
pci_orig.bench,135,11595.67,395.85,4580025
pci_orig.bench,136,11615.13,416.55,4831840
pci_orig.bench,137,11791.03,444.12,5235204
pci_orig.bench,138,11814.94,422.96,4985508
pci_orig.bench,139,11098.99,622.78,6902956
pci_orig.bench,140,11840.99,449.63,5316160
pci_orig.bench,141,11692.92,416.22,4863872
pci_orig.bench,142,11805.08,407.70,4804635
pci_orig.bench,143,11280.34,631.92,7117680
pci_orig.bench,144,11643.94,439.31,5111277
pci_orig.bench,145,11320.42,610.69,6905200
pci_orig.bench,146,11813.40,437.43,5162281
pci_orig.bench,147,11617.99,432.90,5018544
pci_orig.bench,148,11811.73,438.68,5173218
pci_orig.bench,149,11959.78,445.02,5321755
pci_orig.bench,150,11869.03,448.07,5317312
pci_orig.bench,151,11374.85,465.79,5288910
pci_orig.bench,152,11068.54,616.23,6817888
pci_orig.bench,153,11318.73,604.22,6836072
pci_orig.bench,154,11127.06,598.40,6653946
pci_orig.bench,155,11340.32,613.95,6951420
pci_orig.bench,156,11747.74,433.02,5086451
pci_orig.bench,157,11747.57,447.08,5250909
pci_orig.bench,158,11909.18,465.75,5537685
pci_orig.bench,159,11929.83,427.46,5093683
pci_orig.bench,160,11886.17,430.59,5110980
pci_orig.bench,161,11871.85,443.50,5258853
pci_orig.bench,162,11638.13,455.07,5295290
