Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
aes_secworks_orig.bench,357,24648.26,589.86,14517672
aes_secworks_orig.bench,358,21886.42,587.24,12847082
aes_secworks_orig.bench,359,22340.23,583.74,13024220
aes_secworks_orig.bench,360,21789.33,603.49,13138767
aes_secworks_orig.bench,361,22571.60,623.83,14061733
aes_secworks_orig.bench,362,23056.39,585.78,13487760
aes_secworks_orig.bench,363,22038.19,587.67,12936306
aes_secworks_orig.bench,364,23296.12,594.26,13837824
aes_secworks_orig.bench,365,20963.67,603.75,12640689
aes_secworks_orig.bench,366,23490.23,643.16,15104070
aes_secworks_orig.bench,367,22142.84,598.58,13240916
aes_secworks_orig.bench,368,22457.72,550.06,12351350
aes_secworks_orig.bench,369,23088.60,583.76,13460304
aes_secworks_orig.bench,370,23220.31,608.59,14117760
aes_secworks_orig.bench,371,22600.37,604.79,13650400
aes_secworks_orig.bench,372,22734.99,614.49,13958676
aes_secworks_orig.bench,373,23780.00,604.19,14363120
aes_secworks_orig.bench,374,23475.20,594.49,13944150
aes_secworks_orig.bench,375,22032.65,608.45,13395456
aes_secworks_orig.bench,376,22051.01,587.58,12943937
aes_secworks_orig.bench,377,20721.74,618.79,12805578
aes_secworks_orig.bench,378,22464.28,613.81,13770432
aes_secworks_orig.bench,379,22973.70,600.09,13783800
aes_secworks_orig.bench,380,23317.58,566.64,13197422
aes_secworks_orig.bench,381,21714.71,587.13,12746118
aes_secworks_orig.bench,382,22317.45,574.49,12809958
aes_secworks_orig.bench,383,23701.56,575.52,13628075
aes_secworks_orig.bench,384,23005.99,636.25,14631180
aes_secworks_orig.bench,385,23155.07,615.87,14240325
aes_secworks_orig.bench,386,21472.90,615.89,13205280
aes_secworks_orig.bench,387,22456.06,595.27,13361320
aes_secworks_orig.bench,388,21938.21,601.34,13184738
aes_secworks_orig.bench,389,22799.21,621.09,14158179
aes_secworks_orig.bench,390,21976.39,600.75,13185600
aes_secworks_orig.bench,391,22464.71,656.52,14736384
aes_secworks_orig.bench,392,23413.75,602.94,14094626
aes_secworks_orig.bench,393,22140.40,593.53,13129020
aes_secworks_orig.bench,394,22311.02,607.02,13542777
aes_secworks_orig.bench,395,21756.05,667.74,14511252
aes_secworks_orig.bench,396,22157.45,603.41,13360671
aes_secworks_orig.bench,397,22718.17,588.52,13358184
aes_secworks_orig.bench,398,21888.41,625.87,13680000
aes_secworks_orig.bench,399,22248.63,610.18,13571280
aes_secworks_orig.bench,400,22902.75,602.98,13787004
aes_secworks_orig.bench,401,23172.87,612.59,14181264
aes_secworks_orig.bench,402,23215.77,580.50,13464700
aes_secworks_orig.bench,403,22074.96,599.91,13222326
aes_secworks_orig.bench,404,22852.24,596.66,13619792
aes_secworks_orig.bench,405,21679.81,582.24,12617178
aes_secworks_orig.bench,406,21891.33,666.62,14579406
aes_secworks_orig.bench,407,23000.08,599.04,13777000
aes_secworks_orig.bench,408,22872.44,585.04,13380120
aes_secworks_orig.bench,409,22029.80,598.84,13173342
aes_secworks_orig.bench,410,22083.58,622.60,13735626
aes_secworks_orig.bench,411,22142.78,562.96,12443804
aes_secworks_orig.bench,412,22972.96,588.00,13507536
aes_secworks_orig.bench,413,23471.27,583.38,13683593
aes_secworks_orig.bench,414,22246.00,565.88,12568990
aes_secworks_orig.bench,415,22861.30,612.93,13990932
aes_secworks_orig.bench,416,22810.74,554.22,12636740
aes_secworks_orig.bench,417,23916.99,626.12,14971416
aes_secworks_orig.bench,418,22402.32,629.40,14090858
aes_secworks_orig.bench,419,22785.41,592.99,13488720
aes_secworks_orig.bench,420,22966.24,626.35,14376716
aes_secworks_orig.bench,421,21876.03,576.29,12600576
aes_secworks_orig.bench,422,22859.70,616.58,14081144
aes_secworks_orig.bench,423,22174.40,564.06,12506136
aes_secworks_orig.bench,424,23677.44,578.46,13685306
aes_secworks_orig.bench,425,21283.17,599.71,12748517
aes_secworks_orig.bench,426,22838.74,596.12,13611448
aes_secworks_orig.bench,427,22268.92,585.70,13026780
aes_secworks_orig.bench,428,22510.82,564.88,12695640
aes_secworks_orig.bench,429,22666.44,599.72,13576934
aes_secworks_orig.bench,430,23353.62,604.17,14105212
aes_secworks_orig.bench,431,22135.97,630.66,13945050
aes_secworks_orig.bench,432,22801.37,614.17,13999814
aes_secworks_orig.bench,433,22439.89,601.44,13485839
aes_secworks_orig.bench,434,21966.13,617.80,13553022
aes_secworks_orig.bench,435,22795.89,642.21,14634390
aes_secworks_orig.bench,436,22538.05,587.15,13229806
aes_secworks_orig.bench,437,21918.99,587.13,12865866
aes_secworks_orig.bench,438,21188.42,571.60,12098348
aes_secworks_orig.bench,439,22654.01,560.64,12686240
aes_secworks_orig.bench,440,22161.54,591.50,13097151
aes_secworks_orig.bench,441,23167.46,619.46,14340373
aes_secworks_orig.bench,442,23394.41,645.74,15089130
aes_secworks_orig.bench,443,22510.53,619.25,13933690
aes_secworks_orig.bench,444,22534.79,585.63,13182390
aes_secworks_orig.bench,445,21797.65,598.62,13034606
aes_secworks_orig.bench,446,21518.48,614.50,13212052
aes_secworks_orig.bench,447,22323.51,609.63,13594707
aes_secworks_orig.bench,448,22573.91,602.38,13588946
aes_secworks_orig.bench,449,22258.70,609.58,13555122
aes_secworks_orig.bench,450,22505.75,589.00,13255445
aes_secworks_orig.bench,451,22535.38,642.56,14467470
aes_secworks_orig.bench,452,22798.60,638.44,14545124
aes_secworks_orig.bench,453,21967.45,582.61,12784794
aes_secworks_orig.bench,454,22671.86,633.03,14350743
aes_secworks_orig.bench,455,22443.85,617.89,13847331
aes_secworks_orig.bench,456,23557.28,603.24,14204871
aes_secworks_orig.bench,457,23330.62,581.84,13554730
aes_secworks_orig.bench,458,22990.89,582.26,13380180
aes_secworks_orig.bench,459,21565.28,614.72,13240910
aes_secworks_orig.bench,460,22356.93,572.74,12787632
aes_secworks_orig.bench,461,22515.74,577.33,12991155
aes_secworks_orig.bench,462,22617.86,652.42,14746284
aes_secworks_orig.bench,463,22699.66,602.35,13664798
aes_secworks_orig.bench,464,21587.10,598.78,12909026
aes_secworks_orig.bench,465,22389.66,587.45,13142343
aes_secworks_orig.bench,466,21730.96,622.29,13516060
aes_secworks_orig.bench,467,23180.25,622.88,14417960
aes_secworks_orig.bench,468,22968.38,585.88,13436280
aes_secworks_orig.bench,469,22457.46,613.06,13766141
aes_secworks_orig.bench,470,23903.41,571.67,13648613
aes_secworks_orig.bench,471,22539.64,630.17,14199570
aes_secworks_orig.bench,472,23470.51,583.23,13683010
aes_secworks_orig.bench,473,21154.26,604.70,12777016
aes_secworks_orig.bench,474,22117.51,584.59,12916328
aes_secworks_orig.bench,475,22734.43,617.43,14026878
aes_secworks_orig.bench,476,22935.36,642.53,14724270
aes_secworks_orig.bench,477,22693.25,578.07,13116554
aes_secworks_orig.bench,478,21863.66,611.60,13358293
aes_secworks_orig.bench,479,21662.48,627.49,13582074
aes_secworks_orig.bench,480,22416.43,584.92,13090944
aes_secworks_orig.bench,481,21772.14,635.30,13825220
aes_secworks_orig.bench,482,24075.05,596.82,14348700
aes_secworks_orig.bench,483,22439.99,590.38,13239010
aes_secworks_orig.bench,484,22273.90,629.50,14009717
aes_secworks_orig.bench,485,23979.80,591.00,14171589
aes_secworks_orig.bench,486,21080.49,594.77,12521520
aes_secworks_orig.bench,487,22955.59,579.51,13290945
aes_secworks_orig.bench,488,22883.75,559.64,12791597
aes_secworks_orig.bench,489,22771.85,611.46,13913081
aes_secworks_orig.bench,490,23405.13,612.04,14323860
aes_secworks_orig.bench,491,23079.84,578.35,13339662
aes_secworks_orig.bench,492,23673.73,577.83,13659321
aes_secworks_orig.bench,493,22208.13,626.39,13902208
aes_secworks_orig.bench,494,21817.63,587.13,12806579
aes_secworks_orig.bench,495,22077.38,642.56,14173434
